crash_Id,fecha,route,operator,aircraft_type,all_aboard,passangers_onboard,crew_aboard,deaths_number,passenger_fatalities,crew_fatalities
1434,1953-12-19,"Zurich, Switzerland",Sabena,Convair CV-240,44,41,3,1,1,0
1437,1954-01-05,"Lapseki, Turkey",Devlet Hava Yollari,Douglas DC-3,10,5,5,4,2,2
1438,1954-01-06,"Near Aldbury, England",Military -Royal Air Force,Vickers Valetta,17,13,4,16,12,4
1439,1954-01-10,"Off Elba, Italy",British Overseas Airways,de Havilland DH106 Comet 1,35,29,6,35,29,6
1440,1954-01-11,"Manizales, Colombia",AVIANCA,Douglas DC-3,21,18,3,21,18,3
1441,1954-01-12,"Prague, Czech Republic",Czech Airlines,Douglas C-47 Skytrain (DC-3),18,14,4,13,9,4
1442,1954-01-13,"Signal Hill, California",Military - U.S. Air Force,F-88 Sabre Jet,1,0,1,1,0,1
1443,1954-01-14,"Rome, Italy",Philippine Air Lines,Douglas DC-6,16,9,7,16,9,7
1444,1954-01-20,"Kansas City, Missouri",Zantop Air Transport,Douglas DC-3A,3,0,3,3,0,3
1445,1954-02-01,"Off Hokkaido, Japan",Military - U.S. Air Force,Curtiss-Wright C46D-CU,35,30,5,35,30,5
1446,1954-02-05,"Susitna Valley, Alaska",Military - U.S. Air Force,Douglas C-47,16,0,16,10,0,10
1447,1954-02-12,"Off Gozo, Malta",Military - Royal Air Force,Avro Shackleton MR-2,10,0,10,10,0,10
1448,1954-02-25,"New Delhi, India",Indian Airlines,Douglas DC-3,3,0,3,3,0,3
1449,1954-02-26,"Wright, Wyoming",Western Airlines,Convair CV-240,9,6,3,9,6,3
1450,1954-03-04,"Near St. Etienne de Tinee, France",Military - U.S. Air Force,Douglas C-47A-DL,20,18,2,20,18,2
1452,1954-03-13,"Kallang Airport, Singapore",British Overseas Airways,Lockheed 749A-79-33 Constellation,40,31,9,33,31,2
1453,1954-03-14,"Off Mackay, Australia",Queensland Airlines,Douglas C-47A,2,0,2,2,0,2
1454,1954-03-19,"Near Lothian, Maryland",Military - U.S. Air Force,Fairchild C-110F,18,12,6,18,12,6
1455,1954-03-26,"Monterrey, Mexico",Aeronaves de Mexico,Douglas DC-3,18,15,3,18,15,3
1456,1954-04-03,"Kabassaak, Turkey",Devlet Hava Yollari,Douglas DC-3,25,20,5,25,20,5
1457,1954-04-04,"Hanoi, Vietnam",Autrex,Douglas C-54A,4,0,4,4,0,4
1458,1954-04-08,"Off Stromboli, Italy","South African Airways, leased from British Overseas Airways",de Havilland DH106 Comet 1,21,14,7,21,14,7
1459,1954-04-08,"Moose Jaw, SK, Canada",Trans Canada Air Lines / RCAF,Canadair C-4-1 Northstar / Harvard Mark II,36,31,5,36,31,5
1460,1954-04-13,"Batuco, Chile",LAN,Douglas DC-3,14,9,5,14,9,5
1461,1954-04-13,"Xieng Kouang, Laos",Societe Indochinoise de Raviteillement,Lockheed 18 Lodestar,23,20,3,16,13,3
1462,1954-04-23,"Sierra del Vilgo, Argentina",Aerolineas Argentinas,Douglas DC-3,25,21,4,25,21,4
1463,1954-04-30,"Near Calcutta, India",Darbhanga Aviation,Douglas C-47A-30-DK,11,8,3,5,3,2
1464,1954-05-22,"Paraparaumu, New Zealand",New Zealand National Airways,Douglas DC-3,28,26,2,3,3,0
1465,1954-05-31,"Cipo Mountain, Brazil",Transportes Aereos Nacionales,Douglas DC-3,19,16,3,19,16,3
1466,1954-06-03,"Near Maribor, Slovenia",Sabena,Douglas C-47A,4,0,4,1,0,1
1467,1954-06-04,"Sao Paulo, Brazil",Varig,Curtiss C-46A,3,0,3,3,0,3
1468,1954-06-08,"Da Nang, Vietnam",Soc. de Tr. Aériens d'Extrême Orient,Douglas C-47-DL,4,2,2,4,2,2
1469,1954-06-19,"Off Folkestone, England",Swissair,Convair CV-240-4,9,5,4,3,3,0
1470,1954-07-02,"Near Salvador, Brazil",Military - Brazilian Air Force,Lockheed C-28,24,20,4,24,20,4
1471,1954-07-23,"Off Hainan Island, China",Cathay Pacific Airways,Douglas DC-4,18,12,6,10,8,2
1472,1954-08-08,"Near McGrath, Alaska",Alaska Airlines,Douglas DC-2,2,0,2,2,0,2
1473,1954-08-09,"Terceira Island, Azores, Portugal",AVIANCA,Lockheed 749A-79 Constellation,30,21,9,30,21,9
1474,1954-08-12,Vietnam,Autrex,Douglas DC-3,3,0,3,3,0,3
1475,1954-08-16,"Near Pakse, Laos",Air Vietnam (South Vietnam),Bristol 170 Freighter 21E,55,51,4,47,46,1
1476,1954-08-22,"Near Mason City, Iowa",Braniff Airlines,Douglas DC-3,19,16,3,12,10,2
1477,1954-08-23,"Off IJuuiden, North Sea",KLM Royal Dutch Airlines,Douglas DC-6B,21,12,9,21,12,9
1478,1954-08-26,"Sakhalin Oblast, Russia",Aeroflot,Lisunov LI-2,27,22,5,26,21,5
1479,1954-08-27,"Near Rapid City, South Dekota",Military - U.S. Air Force,Convair RB-36H,27,23,4,26,23,3
1480,1954-09-05,"Foynes, Ireland",KLM Royal Dutch Airlines,Lockheed 1049C-55-81 S Constellation,56,46,10,28,25,3
1481,1954-09-12,"Off Rio de Janeiro, Brazil",Cruzeiro,Douglas DC-3,26,22,4,6,6,0
1482,1954-09-15,"Cairo, Egypt",Misrair,Vickers 634 Viking,4,0,4,3,0,3
1483,1954-09-27,"Novosibirsk, Russia",Aeroflot,Ilyushin IL-12,29,24,5,29,24,5
1484,1954-10-24,"Near Nice, Italy",Military - U.S. Air Force,Douglas C-47A-DL,21,18,3,21,18,3
1485,1954-10-28,"Krasnoyarsk Territory, Russia",Aeroflot,Ilyushin IL -12,16,13,3,16,13,3
1486,1954-10-30,"Off Ocean City, Maryland",Military - U.S. Navy,Lockheed R7V-1,42,21,21,42,21,21
1487,1954-10-31,"Mangalore, Australia",TAA,Vickers 720 Viscount,8,0,8,3,0,3
1488,1954-11-16,"Jirishanga,Cerro de Pasco, Peru",TAM (Brazil),Douglas DC-3,24,21,3,24,21,3
1489,1954-11-30,"Berlin, New Hampshire",Northeast Airlines,Douglas DC-3,7,3,4,2,0,2
1490,1954-12-04,"Near Luang Pragang, Laos",Air Laos,Douglas DC-3,29,25,4,29,25,4
1491,1954-12-12,"Bratislava, Slovakia",Ceskoslovenské Aerolinie,Douglas C-47A,4,0,4,4,0,4
1492,1954-12-18,"New York, New York",Linee Aeree Italiane,Douglas DC-6B,32,22,10,26,16,10
1493,1954-12-18,"Near Bolivar, Venezuela",Linea Aeropostal Venezolana,Douglas C-47A,2,0,2,2,0,2
1494,1954-12-22,"Pittsburgh, Pennsylvania",Johnson Flying Service,Douglas DC-3,28,23,5,10,9,1
1495,1954-12-25,"Prestwick, Ayrshire, Scotland",British Overseas Airways,Boeing B377-10-28 Stratocruiser,36,25,11,28,24,4
1496,1954-12-31,"Irkutsk, Russia",Aeroflot,Ilyushin II-14,17,14,3,17,14,3
1499,1955-01-12,"Greater Cincinnati Airport, Covington, Kentucky",Trans World Airlines / Castleton Inc.,Martin 202A / DC-3,15,10,5,15,10,5
1500,1955-01-15,"London, Ontario, Canada",Ontario Hydro,Grumman G-73 Mallard,5,3,2,1,1,0
1501,1955-01-19,"Des Moines, Iowa",United Air Lines,Convair CV-340,39,36,3,0,0,0
1502,1955-01-31,"Lapadrera, Colombia",Interamericana de Aviacion,Consolidated PBY-5 Catalina,5,4,1,5,4,1
1503,1955-02-02,"Nagpur, India",Indian Airlines,Douglas DC-3,10,6,4,10,6,4
1504,1955-02-05,"Near Calabar, Nigeria",West African Airways,Bristol 170 Freighter 21E,13,9,4,13,9,4
1505,1955-02-13,"Abruzzio Mountains, Italy",Sabena,Douglas DC-6,29,21,8,29,21,8
1506,1955-02-19,"Albuquerque, New Mexico",Trans World Airlines,Martin 404,16,13,3,16,13,3
1507,1955-02-23,"Salisbury,  Zimbabwe",Central African Airways,Douglas DC-3,26,21,5,1,0,1
1508,1955-02-26,"Formosa, Argentina",de Havilland Dove,de Havilland DH.104 Dove,7,4,3,6,4,2
1509,1955-03-06,"Vitoria da Conquista, Brazil",REAL,Douglas DC-3,21,18,3,5,4,1
1510,1955-03-07,"Near Cuidad de Valles, Mexic",Private,Lockheed 18 LodeStar,6,4,2,6,4,2
1511,1955-03-08,"Mascota, Mexico",Mexicana,Douglas DC-3,26,23,3,26,23,3
1512,1955-03-09,"Trujillo, Colombia",AVIANCA,Douglas C-47A,8,5,3,8,5,3
1513,1955-03-20,"Springfield, Missouri",American Airlines,Convair CV-240-0,35,32,3,13,11,2
1514,1955-03-22,"Oahu, Hawaii",Military - U.S. Navy,Douglas R6D-1 (C-118B),66,57,9,66,57,9
1515,1955-03-26,Off the Oregon coast,Pan American World Airways,Boeing 377 Stratocruiser 10-26,23,15,8,4,2,2
1516,1955-04-02,"Off Pensacola, Florida",Aaxico Airlines,Curtiss C-46A,2,0,2,2,0,2
1517,1955-04-04,"Islip, New York",United Air Lines,Douglas DC-6,3,0,3,3,0,3
1518,1955-04-11,"Off Great Natuna Island, Sarawak",Air India,Lockheed 749A Constellation,19,11,8,19,11,8
1519,1955-04-18,"Kupe Mountains, Cameroons",Union des Transportes Aeriens,de Havilland DH-114 Heron 1B,14,10,4,12,9,3
1520,1955-05-18,"Mt. Kilimanjaro, Kenya",East African Airways,Douglas DC-3,20,16,4,20,16,4
1521,1955-05-21,"Off Barcelona, Venezuela",Linea Aeropostal Venezolana,Douglas C-47-DL,16,13,3,4,4,0
1522,1955-05-26,"Edmonton, Alberta, Canada",Associated Airways,Avro 685 York C-1,2,0,2,2,0,2
1523,1955-06-03,"Fort Lamy, Cameroon",Union Aéromaritime de Transport,Douglas C-54A,3,0,3,3,0,3
1524,1955-06-16,"Near Asuncion, Paraguay",Panair do Brasil,Lockheed 049-46-21 Constellation,24,14,10,16,9,7
1525,1955-06-18,"Leon, Mexico",Tigres Voladores,Curtiss C-46,39,36,3,18,18,0
1526,1955-07-14,"Oaxaca, Mexico",Lineas Areas Unidas,Douglas DC-2-243,22,19,3,22,19,3
1527,1955-07-17,"Chicago, Illinois",Braniff Airlines,Convair CV-340-32,43,40,3,22,20,2
1528,1955-07-27,"Near Petrich, Bulgaria",El Al,Lockheed 049 Constellation,58,51,7,58,51,7
1529,1955-08-04,"Fort Leonard Wood, Missouri",American Airlines,Convair CV-240-0,30,27,3,30,27,3
1530,1955-08-05,"Near Voronezh, Russia",Aeroflot,Aeroflot,25,20,5,25,20,5
1531,1955-08-11,"Near Edelweiler, West Germany",Military - U.S. Air Force / Military - U.S. Air Force,Fairchild C119G / Fairchild C119G,67,57,10,67,57,10
1532,1955-08-26,"Caparao Mountain, Brazil",Cruzeiro,Douglas DC-3,13,9,4,13,9,4
1533,1955-08-30,"Simra, Nepal",Kalinga Airlines,Douglas C-47A,3,0,3,2,0,2
1534,1955-09-02,"Lanywa, Burma (Myanmar)",Union of Burma Airways,Douglas DC-3,12,9,3,12,9,3
1535,1955-09-08,"Burbank, California",Currey Air Transport,Douglas DC-3,33,30,3,2,0,2
1536,1955-09-10,"Near Banyo, Cameroon",Societe France Hydro,Latecoere 631 (flying boat),16,8,8,16,8,8
1537,1955-09-17,"Near Thorhild, Alberta, Canada",Pacific Western Airlines,Bristol 170 Freighter 31,6,4,2,2,1,1
1538,1955-09-22,"Idris, Libya",British Overseas Airways,Canadair C-4 Argonaut,47,40,7,15,13,2
1539,1955-09-24,"Pacific Ocean (1,000 miles west of Honolulu, HI)",Flying Tiger Line,Douglas C-54A,5,0,5,3,0,3
1540,1955-09-29,"Yellowknife, Northwest Territory, Canada",Associated Airways,Avro 685 York C-1,2,0,2,1,0,1
1541,1955-10-02,"Pico Oiriruma-Vinac, Peru",Faucett,Douglas C54A,35,31,4,19,15,4
1542,1955-10-06,"Near Centennial, Wyoming",United Air Lines,Douglas DC-4,66,63,3,66,63,3
1543,1955-10-10,"Near Vienna, Austria",JAT Yugoslav Airlines,Convair CV-340-58,29,25,4,7,6,1
1544,1955-11-01,"Longmont, Colorado",United Air Lines,Douglas DC-6B,44,39,5,44,39,5
1545,1955-11-17,"Near Las Vegas, Nevada",Military - U.S. Air Force,Douglas MC-54M,14,10,4,14,10,4
1546,1955-11-17,"Seattle, Washingon",Peninsular,Douglas C-54,74,70,4,28,27,1
1547,1955-11-20,"Iwo Jima, Japan",Military - US Air Force,Douglas C124-DL Globemaster II,11,2,9,10,2,8
1548,1955-11-30,"Near Ballico, California",Military - U.S. Air Force,Boeing RB-52B,10,0,10,10,0,10
1549,1955-12-01,"Belem, Brazil",Cruzeiro,Douglas DC-3,6,4,2,6,4,2
1550,1955-12-09,"Khabarovsk Territory, Russia",Aeroflot,Li-2,21,16,5,21,16,5
1551,1955-12-17,"Hollywood, South Carolina",Riddle Airlines,Curtiss C-46A,2,0,2,2,0,2
1553,1955-12-21,"Jacksonville, Florida",Eastern Air Lines,Lockheed 749C-79-12 Constellation,17,12,5,17,12,5
1554,1956-01-12,"Frederick Henry Bay,  Australia",Ansett ANA,Douglas C-47,2,0,2,1,0,1
1555,1956-01-17,"Oreway, Newfoundland, Canada",Quebecair,Douglas DC-3,18,15,3,4,1,3
1556,1956-01-18,"Torysa, Czechoslovakia",Ceskoslovenske Aerolinie,Douglas DC-3,26,23,3,22,19,3
1557,1956-01-28,"Lyon, France",Air France,Douglas C-47,3,0,3,3,0,3
1558,1956-02-13,"Frobisher Bay, Canada",Maritime Central Airways,Bristol 170 Freighter 31,2,0,2,2,0,2
1559,1956-02-14,"Near Fort Chimo, Quebec, Canada",Spartan Air Services,Douglas C-47-DL,3,0,3,2,0,2
1560,1956-02-17,"Near Niles, California",Military - U.S. Marine Corps,Douglas R5D2,40,35,5,40,35,5
1561,1956-02-18,"Near Zurrieg, Malta",Scottish Airlines,Avro 685 York C-1,50,45,5,50,45,5
1562,1956-02-20,"Near Cairo, Egypt",Transport Aerien Intercontinentaux (France),Douglas DC-6B,64,55,9,52,49,3
1563,1956-02-24,"Near Aleppo, Syria",Syrian Airways,Douglas DC-3,19,16,3,19,16,3
1564,1956-02-25,"Jalkot, Pakistan",Pakistan International Airlines,Douglas C-47B,3,0,3,3,0,3
1565,1956-03-21,"Tezpur, India",Indian Airlines,Douglas DC-3,21,18,3,2,2,0
1566,1956-03-28,"Largs, England",Starways,Douglas C-47B,3,0,3,1,0,1
1567,1956-03-31,"Indapur, India",National Air Operators,Douglas C-47A,3,0,3,3,0,3
1568,1956-03-31,"Korat ,Thailand",Military - Royal Thai Air Force,Douglas C-47A,19,17,2,19,17,2
1569,1956-04-01,"Pittsburgh, Pennsylvania",Trans World Airlines,Martin 404,36,33,3,22,21,1
1570,1956-04-02,"Seattle, Washington",Northwest Orient Airlines,Boeing 377 Stratocruiser 10-30,38,32,6,5,4,1
1571,1956-04-09,"Skilak Lake, Alaska",Cordova Airlines,Aero Commander  520,6,5,1,6,5,1
1572,1956-04-18,"Parintins, Brazil",Panair do Brasil,Consolidated PBY-5A Catalina,12,7,5,3,1,2
1573,1956-04-30,"London, England",Scottish Airlines,Avro 685 York C-1,54,49,5,2,2,0
1574,1956-05-15,"Kathmandu, Nepal",Indian Airlines,Douglas DC-3,31,28,3,14,14,0
1575,1956-05-15,"Orleans, Ontario, Canada",Military - Royal Canadian Air Force,CF-100 Mark 4B,2,0,2,2,0,2
1576,1956-05-24,"Guatemala City, Guatemala",Aviateca,Douglas C-47-DL (DC-3),31,28,3,30,27,3
1578,1956-06-20,"Asbury Park, New Jersey",Linea Aeropostal Venezolana,Lockheed 1049E-55 Super Constellation,74,64,10,74,64,10
1579,1956-06-24,"Kano, Nigeria",British Overseas Airways,Canadair C-4 Argonaut,45,38,7,32,29,3
1580,1956-06-30,"Grand Canyon, Arizona",United Air Lines / Trans World Airlines,Douglas DC-7 / Lockheed S Constellation,128,117,11,128,117,11
1581,1956-07-09,"Near Flat Rock, Michigan",Trans Canada Air Lines,Vickers Viscount,35,31,4,1,1,0
1582,1956-07-13,"Near Brows Mills, New Jersey",Military - U.S. Air Force,Douglas C-118A,66,56,10,46,38,8
1583,1956-07-15,"Shannon, Ireland",Swissair,Convair CV-440-11,4,0,4,4,0,4
1584,1956-07-16,"Rio Cuarto, Argentina",Aerolineas Argentinas,Douglas DC-3,18,14,4,18,14,4
1585,1956-08-08,"Thazi, Burma",Union of Burma Airways,Douglas DC-3,22,18,4,12,9,3
1586,1956-08-29,"Cold Bay, Alaska",Canadian Pacific Air Lines,Douglas DC-6B,22,14,8,15,11,4
1587,1956-09-09,"Amman, Jordan",Jordan International Airlines,Curtiss C-46A-45-CU,57,53,4,1,1,0
1588,1956-09-09,"Bartlesville, Oklahoma",Continental Airlines,Douglas DC-3 / Cessna 170B,18,14,4,0,0,0
1589,1956-10-02,"Near Nome, Alaska",Alaska Airlines,Stinson AT-19,5,4,1,5,4,1
1590,1956-10-10,"Off Land's End, England",Military - U.S. Navy,Douglas C188-B,59,50,9,59,50,9
1591,1956-10-16,Over the Pacific Ocean,Pan American World Airways,Boeing  377 Stratocruiser,31,24,7,0,0,0
1592,1956-10-19,"Agartala, India",Indian Airlines,Douglas DC-3,3,0,3,3,0,3
1593,1956-10-28,Over the Mediterranean Sea,Military - Egyptian Air Force,Curtiss C-46,16,12,4,16,12,4
1594,1956-11-05,"Blackbushe, England",Britavia,Handley Page HP-1 Hermes,80,74,6,7,5,2
1595,1956-11-07,"Hommelfjell, Norway",Braathens,de Havilland DH-114 Heron 2B,12,10,2,2,1,1
1596,1956-11-15,"Puerto Somoza, Nicaragua",Aerovias Guest,Douglas C-54A-10-DC,25,20,5,25,20,5
1597,1956-11-17,"El Rucio Mountain, Colombia",Empresa Aviacion del Pacifico,Douglas DC-3,36,33,3,36,33,3
1598,1956-11-24,"Paris, France",Linee Aeree Italiane,Douglas DC-6B,35,25,10,34,24,10
1599,1956-11-24,"Near Eglisau, Switzerland",Ceskoslovenske Aerolinie,Ilyushin IL-12B,23,18,5,23,18,5
1600,1956-11-27,"Caracas, Venezuela",Linea Aeropostal Venezolana,Lockheed 749-79-34 Constellation,25,18,7,25,18,7
1601,1956-12-08,"Caqueta, Colombia",AIDA,Consolidated PBY-5A Catalina,16,11,5,14,10,4
1602,1956-12-09,"Near Chilliwack, British Columbia, Canada",Trans Canada Air Lines,Canadair DC-4M-2 Northstar,62,59,3,62,59,3
1603,1956-12-12,"Dannemois, France",Air France,Vickers 708 Viscount,5,0,5,5,0,5
1604,1956-12-22,"Grub, Germany",JAT Yugoslav Airlines,Convair CV-340-58,30,27,3,3,1,2
1605,1956-12-22,"Mt. Giner, Italy",Linee Aeree Italiane,Douglas DC-3,21,17,4,21,17,4
1606,1956-12-31,"Dhahran, Saudi Arabia",Military - U.S. Air Force,Lockheed C-121C Super Constellation,38,31,7,12,12,0
